"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"25" 17617.5830484834 22023.7870893005 18821.520762914 21245.1172823652 16329.7656331137 15580.3171074535 17592.7093106766 28717.6459562024 27423.9182494813 22615.659818478 22914.0816275139 19941.0201704006
"26" 24787.4186406893 25471.1724568963 27503.6039052923 21423.975588518 18831.8044592345 14974.3260507909 13378.4258730667 20485.4773825917 23920.3353520621 21375.1321708644 20997.8001049749 17617.8502253408
"27" 28621.0644287356 23927.6732221361 26502.4001734835 26265.2515548098 15893.1027064626 18734.1771834837 21413.352170808 21153.9530653141 17591.9170414033 18347.6734007665 19974.4885717615 22602.934420061
"28" 24402.9941037281 25134.11709786 26387.4264238031 22679.548818421 17698.3567122773 20176.7113155348 17761.3719720664 16794.5281295938 14366.3266133967 12319.1260201171 12469.3852275269 12487.9376877554
"29" 21689.4925566506 20742.8996383635 21153.52459927 21058.9801584449 13422.5976438708 17745.5216613121 16549.1382286889 22309.4707877377 18590.6089404064 16443.9030470964 17884.8154961852 20425.5784998979
"30" 26222.6420056275 25796.5764131961 26222.4272758528 23846.3732302152 19460.8996303384 20088.8873104253 18489.480671436 19475.8000864055 17750.8320216918 16032.8631849702 15160.4354919873 20930.7993477208
"31" 22206.5505152877 23566.2636050203 24063.4245969402 21893.3063078568 19422.323674679 18601.097015778 23740.3037399181 24098.9828857867 27529.4914676992 23703.1957797059 19277.6566845479 15379.5303434076
"32" 18726.6620123544 15912.715293664 19043.3389956933 26783.7086653176 15948.2431633947 17010.4975690086 25485.8311850018 28124.7820399309 29449.547194152 23872.8611966021 25201.378440279 24692.4158757383
"33" 25602.2283305686 24637.0462021941 22612.8342002906 19411.3775660043 18154.5492641075 17134.9248669759 19314.8084919372 23740.3302412761 27560.4228676935 24806.4245170779 24451.8644244151 25980.9764186589
"34" 19817.5728504278 15866.7378183289 16956.9813263895 21129.3477360014 17311.0773324413 20074.6194818856 21621.5112079852 24381.7544409537 23790.8189052589 21235.3242298282 15232.3277693416 14747.3035476649
