"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"16" 21158.5864089297 18445.7154610424 14080.0692683631 13437.8406127664 12717.8806931903 13117.8894739962 14627.9299085804 14905.1028581163 13019.0937891363 15234.2525312058 16773.7151767771 19013.998008306
"17" 21921.8546456945 20863.6265950031 14278.4023616873 13780.3682850947 12885.4605251646 12154.876967949 13437.9431272486 15495.2934877791 13942.7476294671 15623.9311962334 18718.2223837916 19323.1055295129
"18" 21157.0573389985 19703.4850969538 13602.2738506549 13322.4594742299 12054.0096601986 11458.4754876498 10834.8692454489 14304.8919172234 14944.0961789813 15866.7602273399 16662.8533457061 12487.4468787731
"19" 20799.7135982026 19247.3723152499 17546.1744092113 17865.7594623055 16987.639625352 14153.4272570681 14003.0447785746 14714.9199673722 13371.7686940008 14798.633972185 16944.1885922094 18912.3559093229
"20" 19984.275515168 19019.4478320937 18563.5819034102 17845.1868786795 16377.0473439999 13874.8476526431 11512.9338165961 12723.1709772745 12117.6371636588 14077.8960005034 16374.0557872254 12668.5782870293
"21" 20884.090415587 20621.7558435742 20391.9409838748 20258.3314843952 15213.2377536605 13539.2855668399 11674.9147234934 13221.8704865015 12581.9264116951 14511.5458357043 16281.1148542418 11738.9639655237
"22" 21407.2490199986 17463.1151437142 14434.7140261265 12371.8968970895 13308.987827204 13302.9615231198 13375.0693802101 15229.2284118225 17504.1619672086 16668.7749049147 16116.38279413 21040.8227300403
"23" 20442.2288019347 18277.7206522655 14838.3623856368 14034.9081445413 12918.2062668771 10980.8603842475 10307.9164122924 12823.9583435904 16633.825104684 15615.6315745878 15871.236635859 17357.5363917661
"24" 21587.7029973552 18635.4140535914 15692.4338878546 12929.540732253 12224.0258086705 10776.0601077377 10692.8107721634 12748.8532508515 16147.8300269704 16377.1977900535 17817.1958545202 14709.0311789969
"25" 20228.8195422012 18859.4223562349 20632.6208043634 18630.9696779058 16332.5876742799 12236.1821791678 10903.2241636011 12953.1624157014 17665.4110330444 15819.2381824581 17228.1772269092 16692.1067922475
"26" 24087.1132529968 20956.7328936124 15718.9188965568 14111.3556003917 14083.6759181643 13848.7625042401 15599.2424138558 16934.4717186198 14907.036191781 16031.0817099699 18539.4600475545 21801.737366247
"27" 24060.9362752911 22231.5864499418 16191.8376157393 15581.0745074283 14246.9919902091 13252.5801246233 11556.5551086725 14334.5924253662 14032.0355095469 16620.8166054351 17768.521676885 14147.7145574332
"28" 24689.4241447792 22462.7616558827 16070.2114300133 14183.7733595063 12916.2294902097 13583.6693608215 11891.7176167933 15177.735938827 14948.742066771 16619.1820921548 18110.7357886071 12875.8204828766
"29" 23856.3085961576 22372.2935385378 21557.960511039 20142.2891299947 17965.618877134 13740.1533029217 11623.040892801 13940.0514704582 13252.3597262232 15752.3287897571 17173.4211691137 13417.3691870339
"30" 24396.4493779821 20922.095051173 17081.4655555807 14352.5411375292 14419.8183383911 12202.6551041529 10884.4923515787 13714.334395956 18268.5637269346 17577.8627224434 17666.7896756166 18833.3256876229
"31" 9 3 6 2 12 12 12 15 7 9 1 21
