"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"35" 13300.9839850598 13639.7433680982 12269.1943803429 15228.2908174687 13544.1351639271 14119.1046156624 13538.2366204701 16176.7423431891 16238.6634077255 16406.3528997357 18298.8028891754 20546.9059017325
"36" 12493.6065900284 14643.2033559606 14052.5979294081 14219.9724954016 11989.5203634519 12490.668721397 12294.9329571143 12719.4929902565 13324.1669824489 15701.0767431126 18234.7629389638 18962.586203494
"37" 15265.1450779943 16354.4583238446 15636.5938902502 17476.2189215455 19456.1802077726 16743.5225077616 13340.1699511669 13586.6881508211 14000.4812381141 14993.5476494833 15653.9689043037 15424.290913498
"38" 14262.6212143334 14030.7969000181 12131.4809324911 12940.5585007999 12909.2624003079 12001.6004867868 13695.3433062749 15067.8627899083 16085.454368139 15817.3342447434 16980.4533307509 18806.6961295229
"39" 13182.3598654929 11805.3036233799 12257.6934613401 12811.7903091263 13126.4522970467 10486.32906908 12675.6871254322 12676.0039975062 15482.115023487 17255.8858581236 18082.5320267246 18516.5596153048
"40" 17727.5329333058 17288.4902415725 14835.5540076916 14370.6021827887 11845.4688775382 10442.4613818892 11064.9049703532 13436.6898850305 15167.5726085522 15513.2189137185 15106.8914450678 16041.2161989379
"41" 13605.9424598582 14841.5074444961 13232.1885351259 17391.8497440514 17598.5048527481 15903.6569385507 15585.5337754506 15839.4441635168 15900.9178916116 14970.191696585 16453.2882672749 16574.0998992062
"42" 15986.1930181735 15091.8289877279 13628.408866898 13516.7981915962 14252.0583918096 12616.1831125135 14881.4392417146 14340.9147398049 16069.2895213749 18743.5849005299 22233.5923838831 24561.7132518215
"43" 19976.2994670072 19070.8952526093 18337.492955874 17732.5768489993 18763.0838064512 13447.9125958958 16962.4066749307 18455.9737222944 19595.6636800045 20771.3084639097 20963.7475744213 23289.6436936497
"44" 18289.0953486271 18177.7321097577 20235.2989146959 17377.5336721539 16138.6548320131 10886.7799726418 13557.4262738875 14398.7124959158 16428.0409865498 18373.7839458674 20410.0902386449 22010.0509303239
"45" 15880.9822556335 17010.1363604039 14546.3506492199 17202.8316971147 15384.471103318 16753.9211758293 18098.8588411925 19491.2340825267 18831.3064734419 19015.5814476286 21102.1252389513 24813.1632890421
"46" 15437.9660611645 17028.4295067937 15082.9489443043 15004.7422487965 12893.5758770008 14229.3137335586 15437.1566716792 15967.5431796732 15781.6458481873 17781.0491172046 20582.2865882791 22585.2237524365
"47" 18986.1065688179 17895.8069294224 18056.7455960248 19905.391701542 23366.0465890067 18509.9416045105 16879.3072488089 17413.6749358391 16685.2566412276 17106.2488063581 18842.7232085673 20589.8434940333
"48" 17192.7328144938 17419.2728305525 14836.9031640943 16303.6075377953 16813.7798228911 15597.2913368829 17022.1538156188 17361.3987568139 17560.8505579615 18161.6393991721 19927.6082812151 23714.3283886748
"49" 15799.4766689403 15533.1159861054 15376.9085913113 16718.6093345141 15249.8122012337 12373.5696932569 16166.743385365 15632.1404871411 18060.2853676584 19118.7244585471 20181.6355997101 21691.8021076454
"50" 19377.0058174808 21305.2355476743 19151.6015880772 19006.581045691 14325.5781868866 12926.6132385271 13549.7012202453 17517.8415220866 18694.2892504216 18488.356338661 18107.5062804875 21240.048986894
"51" 16449.7833322822 18228.947157454 15124.2050254196 19182.7150219592 20954.2012764515 18706.7406971225 20325.5201888155 19677.6057828889 18729.3341240281 16953.4294174399 18464.1322982657 20476.2826887508
"52" 17799.8535157289 18278.5832812498 13816.2799228437 12029.5985436198 12046.2409472121 11251.2465002865 13407.8635570599 15690.6604911618 15923.4923140467 17514.7311878985 19333.9815719259 21076.2686863724
"53" 16293.3731868871 14743.5173553499 13670.9399470272 11555.1367193194 12016.5395267773 10080.3460765503 12082.9936248597 13464.3074643088 14810.0748879604 18912.5876544981 20678.2308446506 20662.3085617447
