"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"36" 17224.7540370499 15619.1195039946 15112.0167321563 14531.5995529585 14028.8497907484 13806.5162096961 15918.6087315428 13871.6226513712 14641.6444360685 15058.4639528085 16469.8160926928 17503.2030623118
"37" 18083.5371825139 16266.008091629 14026.9339941342 14619.5983413771 14264.8369911211 13707.3691841029 14291.9643368082 12248.0192673772 10226.2919411939 11217.8802053514 15271.6146067722 15125.5781276839
"38" 19862.0588601053 17755.1468572185 17424.1070604774 14945.4159767049 14867.5721094824 14191.6838145907 14185.7761638378 13683.0848262425 12714.9622500366 12572.2538704496 13643.9854282221 14391.4028649932
"39" 17719.8359122747 15402.4359919 16787.3796875914 15706.1238923238 15145.8552585341 14547.01784172 15883.2009017927 14996.3729118489 14248.5343401165 14320.205044165 14839.9496920492 16326.835651126
"40" 17554.0176681623 15615.5377976326 18822.0250791966 14656.7236043041 15404.7965563244 15496.8872124608 14778.1939349915 15155.1488803085 13053.6027838246 14735.0922895904 15991.1756093811 15410.9053065705
"41" 20208.3265234031 21222.1622957513 16415.6439493788 17666.2660570187 15493.1976741939 15205.1831751852 15731.5181695685 14519.2759915188 12211.0059204633 14349.2704735253 16278.1816532982 15357.8816282371
"42" 20958.7271274738 21276.1414206402 15993.0670217909 15335.0405018156 13441.3582446745 14331.2612182604 14939.7742303131 14500.9785851011 16386.3996551007 14815.3345323721 17387.0758437461 16822.7393315636
"43" 19704.5721529924 16333.7948878716 15954.6181864731 14309.7227303093 14188.6033990219 14091.6967220349 14927.5527315841 14566.8994407055 14077.7918972698 14011.908687302 15243.8079978747 15568.5812331699
"44" 19338.2883980619 20281.5311025304 18059.2450803124 15473.0750478227 13818.4046372502 13383.3719108072 14377.4227243546 14489.859577666 16344.7703287935 12333.2960262073 15688.8822414003 16826.2481473136
"45" 21494.1874850656 19705.3086946126 14775.5840201292 16344.0295412256 17317.3577579431 15999.1904664502 16985.1464413091 13683.7758630297 12636.6700239708 13303.0570170081 14903.4905632401 15084.8741981179
"46" 19988.7054815382 20849.9912182266 16149.693475444 17338.3085766366 16476.6884852814 15983.9191048655 16850.4421758904 14372.0525643877 15861.0416511623 14129.0466320803 15746.6684400299 17371.9232871339
"47" 20434.5041726664 19625.9524504689 16744.6507237425 17992.7867133359 16267.0764988035 16022.3867315819 17090.0241958021 14025.9780939552 11850.3431049164 11759.8187861488 14862.6774473332 15488.4500928458
"48" 22636.0109968333 21251.542137186 19634.7939144206 18361.6276118026 14864.5062235974 15462.499776995 15099.6285505525 16796.1891365292 14307.7943014461 15496.3803605946 16723.2111074068 16020.8984136938
"49" 19999.3534026512 20045.1522394214 20615.9628459702 18597.5214961735 14690.7904585016 14964.7463720996 15558.2392065082 15539.5847902904 15741.6424709126 15331.5652784347 17082.1570920421 17021.875393879
"50" 20358.6465636017 18239.3338942508 22188.8532656298 19996.2392029702 17122.3812739228 16046.3094908925 16131.6464635114 17822.5080819753 14762.9415536311 16973.333836309 17508.8604645565 16638.7987281812
"51" 23556.0269870077 23837.8015828516 19753.4734549496 22289.9192933656 17892.6994636188 17291.7284981458 18394.4167354347 17926.3785231181 13670.6425609762 16988.9943773947 18877.3250148821 16320.0454287958
"52" 20969.7972056569 16297.5415796921 14415.4978535623 14429.6729236441 15150.7841522348 15475.2108879244 16798.0303833949 14040.6010068579 14559.8343761642 13739.6752653383 16135.4284889331 16266.6365108505
"53" 19893.4563282062 19495.2032975092 17116.5157889401 16114.6439290527 14877.9950767221 15762.0951799871 18739.8431023005 16576.7481767596 16538.2032841411 15756.2456236529 18530.2112308422 18481.8482625692
"54" 20455.0655776308 15156.7327963374 15742.4026386053 14104.9900366275 15784.3511582143 15429.2856098688 16678.787524784 14024.8465774977 12909.2707392952 13456.1221448474 17087.5699943914 17790.0872163239
"55" 22309.2331462073 19048.91439218 15403.5913772093 15882.852369877 16098.0567316312 15524.6143403734 17423.1105599036 12803.6662728668 11273.0439672953 11757.1818448945 16734.2968781426 17528.1911233724
"56" 23847.1141036037 19464.9882574078 19661.2411750186 17845.8116874168 17000.2295222953 15897.00335954 16812.3175400641 16455.8337728537 11896.06027999 14189.1605559698 17838.403639764 17921.3711362462
"57" 1 3 3 6 3 2 2 2 37 35 14 10
